ff_lp_idx	ff_node_id	ff_name	step	branch_idx	parent	child
0	6	FF_211	0	20	BUF_217	FF_211
0	6	FF_211	1	16	BUF_71	BUF_217
0	6	FF_211	2	14	BUF_20	BUF_71
0	6	FF_211	3	9	BUF_5	BUF_20
0	6	FF_211	4	5	BUF_0	BUF_5
0	6	FF_211	5	0	ROOT_CLK	BUF_0
1	7	FF_212	0	21	BUF_217	FF_212
1	7	FF_212	1	16	BUF_71	BUF_217
1	7	FF_212	2	14	BUF_20	BUF_71
1	7	FF_212	3	9	BUF_5	BUF_20
1	7	FF_212	4	5	BUF_0	BUF_5
1	7	FF_212	5	0	ROOT_CLK	BUF_0
2	9	FF_213	0	22	BUF_218	FF_213
2	9	FF_213	1	17	BUF_71	BUF_218
2	9	FF_213	2	14	BUF_20	BUF_71
2	9	FF_213	3	9	BUF_5	BUF_20
2	9	FF_213	4	5	BUF_0	BUF_5
2	9	FF_213	5	0	ROOT_CLK	BUF_0
3	10	FF_214	0	23	BUF_218	FF_214
3	10	FF_214	1	17	BUF_71	BUF_218
3	10	FF_214	2	14	BUF_20	BUF_71
3	10	FF_214	3	9	BUF_5	BUF_20
3	10	FF_214	4	5	BUF_0	BUF_5
3	10	FF_214	5	0	ROOT_CLK	BUF_0
4	11	FF_215	0	24	BUF_218	FF_215
4	11	FF_215	1	17	BUF_71	BUF_218
4	11	FF_215	2	14	BUF_20	BUF_71
4	11	FF_215	3	9	BUF_5	BUF_20
4	11	FF_215	4	5	BUF_0	BUF_5
4	11	FF_215	5	0	ROOT_CLK	BUF_0
5	12	FF_216	0	25	BUF_218	FF_216
5	12	FF_216	1	17	BUF_71	BUF_218
5	12	FF_216	2	14	BUF_20	BUF_71
5	12	FF_216	3	9	BUF_5	BUF_20
5	12	FF_216	4	5	BUF_0	BUF_5
5	12	FF_216	5	0	ROOT_CLK	BUF_0
6	13	FF_217	0	26	BUF_218	FF_217
6	13	FF_217	1	17	BUF_71	BUF_218
6	13	FF_217	2	14	BUF_20	BUF_71
6	13	FF_217	3	9	BUF_5	BUF_20
6	13	FF_217	4	5	BUF_0	BUF_5
6	13	FF_217	5	0	ROOT_CLK	BUF_0
7	14	FF_69	0	18	BUF_71	FF_69
7	14	FF_69	1	14	BUF_20	BUF_71
7	14	FF_69	2	9	BUF_5	BUF_20
7	14	FF_69	3	5	BUF_0	BUF_5
7	14	FF_69	4	0	ROOT_CLK	BUF_0
8	15	FF_70	0	19	BUF_71	FF_70
8	15	FF_70	1	14	BUF_20	BUF_71
8	15	FF_70	2	9	BUF_5	BUF_20
8	15	FF_70	3	5	BUF_0	BUF_5
8	15	FF_70	4	0	ROOT_CLK	BUF_0
9	16	FF_18	0	15	BUF_20	FF_18
9	16	FF_18	1	9	BUF_5	BUF_20
9	16	FF_18	2	5	BUF_0	BUF_5
9	16	FF_18	3	0	ROOT_CLK	BUF_0
10	20	FF_218	0	36	BUF_219	FF_218
10	20	FF_218	1	31	BUF_72	BUF_219
10	20	FF_218	2	27	BUF_21	BUF_72
10	20	FF_218	3	10	BUF_5	BUF_21
10	20	FF_218	4	5	BUF_0	BUF_5
10	20	FF_218	5	0	ROOT_CLK	BUF_0
11	21	FF_219	0	37	BUF_219	FF_219
11	21	FF_219	1	31	BUF_72	BUF_219
11	21	FF_219	2	27	BUF_21	BUF_72
11	21	FF_219	3	10	BUF_5	BUF_21
11	21	FF_219	4	5	BUF_0	BUF_5
11	21	FF_219	5	0	ROOT_CLK	BUF_0
12	23	FF_220	0	38	BUF_220	FF_220
12	23	FF_220	1	32	BUF_72	BUF_220
12	23	FF_220	2	27	BUF_21	BUF_72
12	23	FF_220	3	10	BUF_5	BUF_21
12	23	FF_220	4	5	BUF_0	BUF_5
12	23	FF_220	5	0	ROOT_CLK	BUF_0
13	24	FF_221	0	39	BUF_220	FF_221
13	24	FF_221	1	32	BUF_72	BUF_220
