path_lp_idx	path_design_idx	launch_name	capture_name	launch_ff_idx	capture_ff_idx	data_ss	data_ff	slack_ss_x0	slack_ff_x0
0	0	FF_861	FF_1000	753	912	0.213500000	0.230300000	0.108500000	0.185900000
1	1	FF_1216	FF_1000	1168	912	0.242100000	0.232100000	0.013900000	0.224300000
2	2	FF_150	FF_1000	803	912	0.244100000	0.202000000	0.094900000	0.156700000
3	3	FF_937	FF_1001	844	913	0.179100000	0.246500000	0.124900000	0.218900000
4	4	FF_788	FF_1002	654	914	0.161600000	0.199000000	0.108400000	0.185400000
5	5	FF_453	FF_1002	268	914	0.226900000	0.159500000	0.053100000	0.141100000
6	6	FF_761	FF_1002	625	914	0.158200000	0.152400000	0.138800000	0.123900000
7	7	FF_1498	FF_1003	1490	915	0.189000000	0.156700000	0.111000000	0.129400000
8	8	FF_554	FF_1003	374	915	0.177800000	0.206800000	0.098200000	0.190000000
9	9	FF_222	FF_1003	14	915	0.172100000	0.186100000	0.164900000	0.142900000
10	10	FF_733	FF_1003	586	915	0.182000000	0.168900000	0.059000000	0.164700000
11	11	FF_307	FF_1003	108	915	0.244600000	0.199800000	0.087400000	0.158900000
12	12	FF_370	FF_1003	175	915	0.167900000	0.233000000	0.144100000	0.199400000
13	13	FF_1418	FF_1004	1407	916	0.237100000	0.232600000	-0.013100000	0.238100000
14	14	FF_909	FF_1005	808	917	0.185300000	0.153900000	0.065700000	0.148900000
15	15	FF_449	FF_1005	264	917	0.252900000	0.212900000	-0.011900000	0.210700000
16	16	FF_238	FF_1005	34	917	0.169800000	0.183000000	0.171200000	0.136300000
17	17	FF_994	FF_1006	904	918	0.160700000	0.214000000	0.078300000	0.215100000
18	18	FF_576	FF_1006	404	918	0.150200000	0.227000000	0.211800000	0.169600000
19	19	FF_904	FF_1006	802	918	0.155600000	0.247700000	0.114400000	0.236200000
20	20	FF_1392	FF_1006	1373	918	0.201700000	0.170700000	0.080300000	0.150900000
21	21	FF_1366	FF_1006	1340	918	0.211000000	0.204000000	0.128000000	0.153000000
22	22	FF_987	FF_1006	896	918	0.197400000	0.229100000	0.048600000	0.226800000
23	23	FF_1053	FF_1006	972	918	0.212500000	0.177800000	0.085500000	0.151100000
24	24	FF_635	FF_1006	469	918	0.187100000	0.170100000	0.129900000	0.130100000
25	25	FF_622	FF_1006	456	918	0.240300000	0.164700000	0.034700000	0.141800000
26	26	FF_1283	FF_1006	1251	918	0.223500000	0.220900000	0.095500000	0.183500000
27	27	FF_480	FF_1007	299	919	0.172100000	0.237300000	0.111900000	0.217100000
28	28	FF_1467	FF_1007	1459	919	0.216400000	0.176500000	0.021600000	0.177000000
29	29	FF_914	FF_1007	813	919	0.157700000	0.152200000	0.080300000	0.151900000
30	30	FF_71	FF_1008	26	920	0.206700000	0.172800000	0.204300000	0.093400000
31	31	FF_1378	FF_1010	1359	922	0.247700000	0.208700000	0.106300000	0.155900000
32	32	FF_950	FF_1009	857	921	0.240200000	0.198900000	0.019800000	0.191600000
33	33	FF_1171	FF_1011	1109	923	0.159100000	0.200500000	0.182900000	0.154300000
34	34	FF_1305	FF_1012	1277	924	0.215300000	0.175700000	0.107700000	0.138300000
35	35	FF_445	FF_1013	260	925	0.190200000	0.191500000	0.097800000	0.168900000
36	36	FF_118	FF_1013	572	925	0.204000000	0.232300000	0.184000000	0.158400000
37	37	FF_484	FF_1013	304	925	0.234100000	0.228100000	0.079900000	0.193100000
38	38	FF_1032	FF_1014	946	926	0.192300000	0.213400000	0.100700000	0.187200000
39	39	FF_798	FF_1015	667	927	0.164500000	0.196100000	0.074500000	0.194400000
40	40	FF_1166	FF_1015	1104	927	0.250700000	0.196600000	0.109300000	0.142100000
41	41	FF_632	FF_1015	466	927	0.152600000	0.155800000	0.180400000	0.107600000
42	42	FF_446	FF_1015	261	927	0.152700000	0.240000000	0.117300000	0.224000000
43	43	FF_220	FF_1015	12	927	0.192000000	0.164300000	0.164000000	0.111600000
44	44	FF_893	FF_1015	791	927	0.227600000	0.231000000	0.064400000	0.209100000
45	45	FF_153	FF_1015	826	927	0.221500000	0.241000000	0.162500000	0.174700000
46	46	FF_115	FF_1016	545	928	0.161700000	0.154800000	0.243300000	0.073100000
47	47	FF_1293	FF_1017	1263	929	0.187600000	0.208700000	0.115400000	0.180300000
48	48	FF_1045	FF_1018	964	930	0.228800000	0.181900000	0.069200000	0.153600000
49	49	FF_513	FF_1018	333	930	0.202100000	0.181400000	0.123900000	0.140900000
50	50	FF_339	FF_1020	141	932	0.167300000	0.176600000	0.162700000	0.136200000
51	51	FF_1244	FF_1019	1203	931	0.240800000	0.185800000	0.113200000	0.131200000
52	52	FF_829	FF_1021	702	933	0.195200000	0.244500000	0.138800000	0.197800000
53	53	FF_1438	FF_1022	1429	934	0.233800000	0.167600000	0.057200000	0.145300000
54	54	FF_1083	FF_1022	1007	934	0.250600000	0.251200000	0.070400000	0.211500000
