# Clock tree = real buffer cell delays (SS, after apply)
# Segment tree = bottom-up target branch delays
# *_in_edge = incoming buffer delay; *_node_delay = cumulative from root
# fanout==1 FF merged with parent; -- if node absent in that tree
logical_id	name	kind	level	repr_nodes	clock_in_edge	clock_node_delay	seg_in_edge	seg_node_delay	diff
0	ROOT_CLK	ROOT	0	0	0.000000	0.000000	0.000000	0.000000	0.000000
1	BUF_0	BUF	1	1	0.056000	0.056000	0.063000	0.063000	0.007000
2	BUF_5	BUF	2	2	0.108000	0.164000	0.039000	0.102000	-0.062000
3	BUF_20	BUF	3	3	0.015000	0.179000	0.063000	0.165000	-0.014000
4	BUF_71	BUF	4	4	0.039000	0.218000	0.011000	0.176000	-0.042000
5	BUF_217	BUF	5	5	0.011000	0.229000	0.039000	0.215000	-0.014000
6	FF_211	FF	6	6	0.000000	0.229000	0.000000	0.215000	-0.014000
7	FF_212	FF	6	7	0.000000	0.229000	0.000000	0.215000	-0.014000
8	BUF_218	BUF	5	8	0.063000	0.281000	0.039000	0.215000	-0.066000
9	FF_213	FF	6	9	0.000000	0.281000	0.000000	0.215000	-0.066000
10	FF_214	FF	6	10	0.000000	0.281000	0.000000	0.215000	-0.066000
11	FF_215	FF	6	11	0.000000	0.281000	0.000000	0.215000	-0.066000
12	FF_216	FF	6	12	0.000000	0.281000	0.000000	0.215000	-0.066000
13	FF_217	FF	6	13	0.000000	0.281000	0.000000	0.215000	-0.066000
14	FF_69	FF	5	14	0.000000	0.218000	0.000000	0.176000	-0.042000
15	FF_70	FF	5	15	0.000000	0.218000	0.000000	0.176000	-0.042000
16	FF_18	FF	4	16	0.000000	0.179000	0.000000	0.165000	-0.014000
17	BUF_21	BUF	3	17	0.045000	0.209000	0.063000	0.165000	-0.044000
18	BUF_72	BUF	4	18	0.063000	0.272000	0.039000	0.204000	-0.068000
19	BUF_219	BUF	5	19	0.016000	0.288000	0.063000	0.267000	-0.021000
20	FF_218	FF	6	20	0.000000	0.288000	0.000000	0.267000	-0.021000
21	FF_219	FF	6	21	0.000000	0.288000	0.000000	0.267000	-0.021000
22	BUF_220	BUF	5	22	0.036000	0.308000	0.063000	0.267000	-0.041000
23	FF_220	FF	6	23	0.000000	0.308000	0.000000	0.267000	-0.041000
24	FF_221	FF	6	24	0.000000	0.308000	0.000000	0.267000	-0.041000
25	BUF_221	BUF	5	25	0.036000	0.308000	0.063000	0.267000	-0.041000
26	FF_222	FF	6	26	0.000000	0.308000	0.000000	0.267000	-0.041000
27	FF_223	FF	6	27	0.000000	0.308000	0.000000	0.267000	-0.041000
28	FF_224	FF	6	28	0.000000	0.308000	0.000000	0.267000	-0.041000
29	BUF_222	BUF	5	29	0.036000	0.308000	0.063000	0.267000	-0.041000
30	FF_225	FF	6	30	0.000000	0.308000	0.000000	0.267000	-0.041000
31	FF_226	FF	6	31	0.000000	0.308000	0.000000	0.267000	-0.041000
32	FF_227	FF	6	32	0.000000	0.308000	0.000000	0.267000	-0.041000
33	BUF_223+FF_228	BUF+FF	5	33+34	0.010000	0.282000	0.063000	0.267000	-0.015000
35	BUF_73	BUF	4	35	0.063000	0.272000	0.039000	0.204000	-0.068000
36	BUF_224	BUF	5	36	0.076000	0.348000	0.063000	0.267000	-0.081000
37	FF_229	FF	6	37	0.000000	0.348000	0.000000	0.267000	-0.081000
38	FF_230	FF	6	38	0.000000	0.348000	0.000000	0.267000	-0.081000
39	FF_231	FF	6	39	0.000000	0.348000	0.000000	0.267000	-0.081000
40	FF_232	FF	6	40	0.000000	0.348000	0.000000	0.267000	-0.081000
41	FF_233	FF	6	41	0.000000	0.348000	0.000000	0.267000	-0.081000
42	FF_71	FF	5	42	0.000000	0.272000	0.000000	0.204000	-0.068000
43	FF_72	FF	5	43	0.000000	0.272000	0.000000	0.204000	-0.068000
44	FF_73	FF	5	44	0.000000	0.272000	0.000000	0.204000	-0.068000
45	FF_74	FF	5	45	0.000000	0.272000	0.000000	0.204000	-0.068000
46	BUF_74	BUF	4	46	0.039000	0.248000	0.039000	0.204000	-0.044000
47	BUF_225	BUF	5	47	0.063000	0.311000	0.039000	0.243000	-0.068000
48	FF_234	FF	6	48	0.000000	0.311000	0.000000	0.243000	-0.068000
49	FF_235	FF	6	49	0.000000	0.311000	0.000000	0.243000	-0.068000
50	FF_236	FF	6	50	0.000000	0.311000	0.000000	0.243000	-0.068000
51	FF_237	FF	6	51	0.000000	0.311000	0.000000	0.243000	-0.068000
52	FF_238	FF	6	52	0.000000	0.311000	0.000000	0.243000	-0.068000
53	BUF_226	BUF	5	53	0.063000	0.311000	0.039000	0.243000	-0.068000
54	FF_239	FF	6	54	0.000000	0.311000	0.000000	0.243000	-0.068000
55	FF_240	FF	6	55	0.000000	0.311000	0.000000	0.243000	-0.068000
56	FF_241	FF	6	56	0.000000	0.311000	0.000000	0.243000	-0.068000
57	FF_242	FF	6	57	0.000000	0.311000	0.000000	0.243000	-0.068000
58	FF_243	FF	6	58	0.000000	0.311000	0.000000	0.243000	-0.068000
59	BUF_227+FF_244	BUF+FF	5	59+60	0.005000	0.253000	0.039000	0.243000	-0.010000
61	BUF_228+FF_245	BUF+FF	5	61+62	0.005000	0.253000	0.039000	0.243000	-0.010000
63	FF_19	FF	4	63	0.000000	0.209000	0.000000	0.165000	-0.044000
