# Clock tree = real buffer cell delays (SS, after apply)
# Segment tree = bottom-up target branch delays
# *_in_edge = incoming buffer delay; *_node_delay = cumulative from root
# fanout==1 FF merged with parent; -- if node absent in that tree
logical_id	name	kind	level	repr_nodes	clock_in_edge	clock_node_delay	seg_in_edge	seg_node_delay	diff
0	ROOT_CLK	ROOT	0	0	0.000000	0.000000	0.000000	0.000000	0.000000
1	BUF_0	BUF	1	1	0.036000	0.036000	0.039000	0.039000	0.003000
2	BUF_4	BUF	2	2	0.108000	0.144000	0.011000	0.050000	-0.094000
3	BUF_12	BUF	3	3	0.069000	0.213000	0.063000	0.113000	-0.100000
4	BUF_31	BUF	4	4	0.089000	0.302000	0.063000	0.176000	-0.126000
5	BUF_83	BUF	5	5	0.027000	0.329000	0.063000	0.239000	-0.090000
6	BUF_235	BUF	6	6	0.011000	0.340000	0.011000	0.250000	-0.090000
7	BUF_673	BUF	7	7	0.063000	0.403000	0.011000	0.261000	-0.142000
8	BUF_1979	BUF	8	8	0.089000	0.492000	0.063000	0.324000	-0.168000
9	BUF_5792	BUF	9	9	0.108000	0.600000	0.063000	0.387000	-0.213000
10	FF_5869	FF	10	10	0.000000	0.600000	0.000000	0.387000	-0.213000
11	FF_5870	FF	10	11	0.000000	0.600000	0.000000	0.387000	-0.213000
12	FF_5871	FF	10	12	0.000000	0.600000	0.000000	0.387000	-0.213000
13	FF_5872	FF	10	13	0.000000	0.600000	0.000000	0.387000	-0.213000
14	FF_5873	FF	10	14	0.000000	0.600000	0.000000	0.387000	-0.213000
15	FF_1996	FF	9	15	0.000000	0.492000	0.000000	0.324000	-0.168000
16	FF_1997	FF	9	16	0.000000	0.492000	0.000000	0.324000	-0.168000
17	FF_1998	FF	9	17	0.000000	0.492000	0.000000	0.324000	-0.168000
18	FF_1999	FF	9	18	0.000000	0.492000	0.000000	0.324000	-0.168000
19	BUF_1980	BUF	8	19	0.064000	0.467000	0.063000	0.324000	-0.143000
20	BUF_5793	BUF	9	20	0.063000	0.530000	0.039000	0.363000	-0.167000
21	FF_5874	FF	10	21	0.000000	0.530000	0.000000	0.363000	-0.167000
22	FF_5875	FF	10	22	0.000000	0.530000	0.000000	0.363000	-0.167000
23	FF_5876	FF	10	23	0.000000	0.530000	0.000000	0.363000	-0.167000
24	FF_5877	FF	10	24	0.000000	0.530000	0.000000	0.363000	-0.167000
25	FF_5878	FF	10	25	0.000000	0.530000	0.000000	0.363000	-0.167000
26	BUF_5794	BUF	9	26	0.020000	0.487000	0.039000	0.363000	-0.124000
27	FF_5879	FF	10	27	0.000000	0.487000	0.000000	0.363000	-0.124000
28	FF_5880	FF	10	28	0.000000	0.487000	0.000000	0.363000	-0.124000
29	FF_5881	FF	10	29	0.000000	0.487000	0.000000	0.363000	-0.124000
30	BUF_5795	BUF	9	30	0.011000	0.478000	0.039000	0.363000	-0.115000
31	FF_5882	FF	10	31	0.000000	0.478000	0.000000	0.363000	-0.115000
32	FF_5883	FF	10	32	0.000000	0.478000	0.000000	0.363000	-0.115000
33	FF_2000	FF	9	33	0.000000	0.467000	0.000000	0.324000	-0.143000
34	FF_674	FF	8	34	0.000000	0.403000	0.000000	0.261000	-0.142000
35	FF_675	FF	8	35	0.000000	0.403000	0.000000	0.261000	-0.142000
36	FF_676	FF	8	36	0.000000	0.403000	0.000000	0.261000	-0.142000
37	BUF_674	BUF	7	37	0.039000	0.379000	0.011000	0.261000	-0.118000
38	BUF_1981	BUF	8	38	0.011000	0.390000	0.039000	0.300000	-0.090000
39	BUF_5796	BUF	9	39	0.020000	0.410000	0.011000	0.311000	-0.099000
40	FF_5884	FF	10	40	0.000000	0.410000	0.000000	0.311000	-0.099000
41	FF_5885	FF	10	41	0.000000	0.410000	0.000000	0.311000	-0.099000
42	FF_5886	FF	10	42	0.000000	0.410000	0.000000	0.311000	-0.099000
43	BUF_5797	BUF	9	43	0.039000	0.429000	0.011000	0.311000	-0.118000
44	FF_5887	FF	10	44	0.000000	0.429000	0.000000	0.311000	-0.118000
45	FF_5888	FF	10	45	0.000000	0.429000	0.000000	0.311000	-0.118000
46	FF_5889	FF	10	46	0.000000	0.429000	0.000000	0.311000	-0.118000
47	FF_5890	FF	10	47	0.000000	0.429000	0.000000	0.311000	-0.118000
48	BUF_1982	BUF	8	48	0.039000	0.418000	0.039000	0.300000	-0.118000
49	BUF_5798	BUF	9	49	0.011000	0.429000	0.039000	0.339000	-0.090000
50	FF_5891	FF	10	50	0.000000	0.429000	0.000000	0.339000	-0.090000
51	FF_5892	FF	10	51	0.000000	0.429000	0.000000	0.339000	-0.090000
52	BUF_5799	BUF	9	52	0.039000	0.457000	0.039000	0.339000	-0.118000
53	FF_5893	FF	10	53	0.000000	0.457000	0.000000	0.339000	-0.118000
54	FF_5894	FF	10	54	0.000000	0.457000	0.000000	0.339000	-0.118000
55	FF_5895	FF	10	55	0.000000	0.457000	0.000000	0.339000	-0.118000
56	FF_5896	FF	10	56	0.000000	0.457000	0.000000	0.339000	-0.118000
57	BUF_5800+FF_5897	BUF+FF	9	57+58	0.005000	0.423000	0.039000	0.339000	-0.084000
59	BUF_5801	BUF	9	59	0.063000	0.481000	0.039000	0.339000	-0.142000
60	FF_5898	FF	10	60	0.000000	0.481000	0.000000	0.339000	-0.142000
61	FF_5899	FF	10	61	0.000000	0.481000	0.000000	0.339000	-0.142000
62	FF_5900	FF	10	62	0.000000	0.481000	0.000000	0.339000	-0.142000
63	FF_5901	FF	10	63	0.000000	0.481000	0.000000	0.339000	-0.142000
64	FF_5902	FF	10	64	0.000000	0.481000	0.000000	0.339000	-0.142000
65	BUF_1983	BUF	8	65	0.020000	0.399000	0.039000	0.300000	-0.099000
66	BUF_5802+FF_5903	BUF+FF	9	66+67	0.005000	0.404000	0.020000	0.320000	-0.084000
68	FF_2001	FF	9	68	0.000000	0.399000	0.000000	0.300000	-0.099000
69	FF_2002	FF	9	69	0.000000	0.399000	0.000000	0.300000	-0.099000
70	BUF_1984	BUF	8	70	0.063000	0.442000	0.039000	0.300000	-0.142000
71	BUF_5803	BUF	9	71	0.066000	0.508000	0.063000	0.363000	-0.145000
72	FF_5904	FF	10	72	0.000000	0.508000	0.000000	0.363000	-0.145000
73	FF_5905	FF	10	73	0.000000	0.508000	0.000000	0.363000	-0.145000
74	FF_5906	FF	10	74	0.000000	0.508000	0.000000	0.363000	-0.145000
75	BUF_5804	BUF	9	75	0.069000	0.511000	0.063000	0.363000	-0.148000
76	FF_5907	FF	10	76	0.000000	0.511000	0.000000	0.363000	-0.148000
77	FF_5908	FF	10	77	0.000000	0.511000	0.000000	0.363000	-0.148000
78	FF_5909	FF	10	78	0.000000	0.511000	0.000000	0.363000	-0.148000
79	FF_5910	FF	10	79	0.000000	0.511000	0.000000	0.363000	-0.148000
80	FF_5911	FF	10	80	0.000000	0.511000	0.000000	0.363000	-0.148000
81	BUF_5805	BUF	9	81	0.045000	0.487000	0.063000	0.363000	-0.124000
82	FF_5912	FF	10	82	0.000000	0.487000	0.000000	0.363000	-0.124000
83	FF_5913	FF	10	83	0.000000	0.487000	0.000000	0.363000	-0.124000
84	FF_5914	FF	10	84	0.000000	0.487000	0.000000	0.363000	-0.124000
85	FF_5915	FF	10	85	0.000000	0.487000	0.000000	0.363000	-0.124000
86	BUF_5806+FF_5916	BUF+FF	9	86+87	0.020000	0.462000	0.063000	0.363000	-0.099000
88	FF_2003	FF	9	88	0.000000	0.442000	0.000000	0.300000	-0.142000
89	BUF_236	BUF	6	89	0.063000	0.392000	0.011000	0.250000	-0.142000
90	BUF_675	BUF	7	90	0.089000	0.481000	0.063000	0.313000	-0.168000
91	BUF_1985	BUF	8	91	0.084000	0.565000	0.063000	0.376000	-0.189000
92	BUF_5807+FF_5917	BUF+FF	9	92+93	0.005000	0.570000	0.039000	0.415000	-0.155000
94	BUF_5808+FF_5918	BUF+FF	9	94+95	0.005000	0.570000	0.039000	0.415000	-0.155000
96	FF_2004	FF	9	96	0.000000	0.565000	0.000000	0.376000	-0.189000
97	FF_2005	FF	9	97	0.000000	0.565000	0.000000	0.376000	-0.189000
98	BUF_1986	BUF	8	98	0.068000	0.549000	0.063000	0.376000	-0.173000
99	BUF_5809	BUF	9	99	0.108000	0.657000	0.063000	0.439000	-0.218000
100	FF_5919	FF	10	100	0.000000	0.657000	0.000000	0.439000	-0.218000
101	FF_5920	FF	10	101	0.000000	0.657000	0.000000	0.439000	-0.218000
102	FF_5921	FF	10	102	0.000000	0.657000	0.000000	0.439000	-0.218000
103	FF_5922	FF	10	103	0.000000	0.657000	0.000000	0.439000	-0.218000
