# Segment tree (bottom-up target delays, SS corner)
# node_delay = cumulative arrival from root at logical node
# fanout==1 FF merged with parent as one logical node
logical_id	name	kind	level	parent	repr_nodes	seg_in_edge_delay	seg_node_delay
0	ROOT_CLK	ROOT	0	-1	0	0.000000	0.000000
1	BUF_0	BUF	1	0	1	0.039000	0.039000
2	BUF_4	BUF	2	1	2	0.011000	0.050000
3	BUF_12	BUF	3	2	3	0.063000	0.113000
4	BUF_31	BUF	4	3	4	0.063000	0.176000
5	BUF_83	BUF	5	4	5	0.063000	0.239000
6	BUF_235	BUF	6	5	6	0.011000	0.250000
7	BUF_673	BUF	7	6	7	0.011000	0.261000
8	BUF_1979	BUF	8	7	8	0.063000	0.324000
9	BUF_5792	BUF	9	8	9	0.063000	0.387000
10	FF_5869	FF	10	9	10	0.000000	0.387000
11	FF_5870	FF	10	9	11	0.000000	0.387000
12	FF_5871	FF	10	9	12	0.000000	0.387000
13	FF_5872	FF	10	9	13	0.000000	0.387000
14	FF_5873	FF	10	9	14	0.000000	0.387000
15	FF_1996	FF	9	8	15	0.000000	0.324000
16	FF_1997	FF	9	8	16	0.000000	0.324000
17	FF_1998	FF	9	8	17	0.000000	0.324000
18	FF_1999	FF	9	8	18	0.000000	0.324000
19	BUF_1980	BUF	8	7	19	0.063000	0.324000
20	BUF_5793	BUF	9	19	20	0.039000	0.363000
21	FF_5874	FF	10	20	21	0.000000	0.363000
22	FF_5875	FF	10	20	22	0.000000	0.363000
23	FF_5876	FF	10	20	23	0.000000	0.363000
24	FF_5877	FF	10	20	24	0.000000	0.363000
25	FF_5878	FF	10	20	25	0.000000	0.363000
26	BUF_5794	BUF	9	19	26	0.039000	0.363000
27	FF_5879	FF	10	26	27	0.000000	0.363000
28	FF_5880	FF	10	26	28	0.000000	0.363000
29	FF_5881	FF	10	26	29	0.000000	0.363000
30	BUF_5795	BUF	9	19	30	0.039000	0.363000
31	FF_5882	FF	10	30	31	0.000000	0.363000
32	FF_5883	FF	10	30	32	0.000000	0.363000
33	FF_2000	FF	9	19	33	0.000000	0.324000
34	FF_674	FF	8	7	34	0.000000	0.261000
35	FF_675	FF	8	7	35	0.000000	0.261000
36	FF_676	FF	8	7	36	0.000000	0.261000
37	BUF_674	BUF	7	6	37	0.011000	0.261000
38	BUF_1981	BUF	8	37	38	0.039000	0.300000
39	BUF_5796	BUF	9	38	39	0.011000	0.311000
40	FF_5884	FF	10	39	40	0.000000	0.311000
41	FF_5885	FF	10	39	41	0.000000	0.311000
42	FF_5886	FF	10	39	42	0.000000	0.311000
43	BUF_5797	BUF	9	38	43	0.011000	0.311000
44	FF_5887	FF	10	43	44	0.000000	0.311000
45	FF_5888	FF	10	43	45	0.000000	0.311000
46	FF_5889	FF	10	43	46	0.000000	0.311000
47	FF_5890	FF	10	43	47	0.000000	0.311000
48	BUF_1982	BUF	8	37	48	0.039000	0.300000
49	BUF_5798	BUF	9	48	49	0.039000	0.339000
50	FF_5891	FF	10	49	50	0.000000	0.339000
51	FF_5892	FF	10	49	51	0.000000	0.339000
52	BUF_5799	BUF	9	48	52	0.039000	0.339000
53	FF_5893	FF	10	52	53	0.000000	0.339000
54	FF_5894	FF	10	52	54	0.000000	0.339000
55	FF_5895	FF	10	52	55	0.000000	0.339000
56	FF_5896	FF	10	52	56	0.000000	0.339000
57	BUF_5800+FF_5897	BUF+FF	9	48	57+58	0.039000	0.339000
59	BUF_5801	BUF	9	48	59	0.039000	0.339000
60	FF_5898	FF	10	59	60	0.000000	0.339000
61	FF_5899	FF	10	59	61	0.000000	0.339000
62	FF_5900	FF	10	59	62	0.000000	0.339000
63	FF_5901	FF	10	59	63	0.000000	0.339000
64	FF_5902	FF	10	59	64	0.000000	0.339000
65	BUF_1983	BUF	8	37	65	0.039000	0.300000
66	BUF_5802+FF_5903	BUF+FF	9	65	66+67	0.020000	0.320000
68	FF_2001	FF	9	65	68	0.000000	0.300000
69	FF_2002	FF	9	65	69	0.000000	0.300000
70	BUF_1984	BUF	8	37	70	0.039000	0.300000
71	BUF_5803	BUF	9	70	71	0.063000	0.363000
72	FF_5904	FF	10	71	72	0.000000	0.363000
73	FF_5905	FF	10	71	73	0.000000	0.363000
74	FF_5906	FF	10	71	74	0.000000	0.363000
75	BUF_5804	BUF	9	70	75	0.063000	0.363000
76	FF_5907	FF	10	75	76	0.000000	0.363000
77	FF_5908	FF	10	75	77	0.000000	0.363000
78	FF_5909	FF	10	75	78	0.000000	0.363000
79	FF_5910	FF	10	75	79	0.000000	0.363000
80	FF_5911	FF	10	75	80	0.000000	0.363000
81	BUF_5805	BUF	9	70	81	0.063000	0.363000
82	FF_5912	FF	10	81	82	0.000000	0.363000
83	FF_5913	FF	10	81	83	0.000000	0.363000
84	FF_5914	FF	10	81	84	0.000000	0.363000
85	FF_5915	FF	10	81	85	0.000000	0.363000
86	BUF_5806+FF_5916	BUF+FF	9	70	86+87	0.063000	0.363000
88	FF_2003	FF	9	70	88	0.000000	0.300000
89	BUF_236	BUF	6	5	89	0.011000	0.250000
90	BUF_675	BUF	7	89	90	0.063000	0.313000
91	BUF_1985	BUF	8	90	91	0.063000	0.376000
92	BUF_5807+FF_5917	BUF+FF	9	91	92+93	0.039000	0.415000
94	BUF_5808+FF_5918	BUF+FF	9	91	94+95	0.039000	0.415000
